project_id,completion_rate,cycle_time,defect_density,review_time,deploy_count,change_failure_rate,avg_release_delay
P001,0.9610424895114061,1.1737520128824477,0.3493975903614458,14.235869565217392,75,0.04,0.3
P002,0.9454524590668946,1.044680420711974,0.32727272727272727,13.242777777777777,66,0.045454545454545456,1.6600000000000001
P003,0.9276218424279099,1.0571915064102564,0.39552238805970147,14.64551724137931,87,0.06896551724137931,1.5
P004,0.9451986524387477,1.0802641369047619,0.30141843971631205,14.525683060109289,79,0.0759493670886076,0.5
P005,0.8185921424841853,1.315171568627451,0.3623853211009174,18.431952662721894,59,0.06779661016949153,0.04
P006,0.9522311661506707,1.056193078324226,0.3865546218487395,13.924390243902439,72,0.06944444444444445,2.48
P007,0.9353878174287746,1.0504464285714286,0.32142857142857145,13.838271604938273,67,0.05970149253731343,1.34
P008,0.5903852303928068,1.8046705426356588,0.3920863309352518,24.233532934131738,39,0.1282051282051282,4.64
P009,0.5627817941093196,1.8011381172839507,0.35563380281690143,24.150898203592813,44,0.20454545454545456,3.1399999999999997
P010,0.9419203747072599,1.0971491228070176,0.3482142857142857,13.604117647058823,66,0.030303030303030304,1.1
P011,0.5762968660643079,1.7153659611992944,0.35918367346938773,23.198709677419355,47,0.1276595744680851,1.78
P012,0.8883153019276826,1.2173109965635738,0.3686274509803922,13.388524590163934,68,0.029411764705882353,1.075
